location,user,type_of_access,total_files,total_size
tikgpu10,fgroetschla,rd,1,32768
tikgpu03,jlauer,rd,1,32768
tikgpu03,jlauer,rd,1,65536
tikgpu08,fgroetschla,rd,2,65536
tikgpu10,sischoe,rd,1,2048
tikgpu10,sischoe,rd,0,0
tikgpu10,sischoe,rd,0,0
tikgpu10,sischoe,rd,0,0
tikgpu10,sischoe,rd,1,32768
tikgpu10,sischoe,rd,1,65536
tikgpu05,jborrell,rd,5,163840
tik42x,recaky,rd,3,192
tik42x,recaky,rd,0,0
tik42x,recaky,rd,1,256
tik42x,recaky,rd,1,512
tik42x,recaky,rd,1,1024
tik42x,hodl_001fs25,rd,3,3072
tik42x,hodl_001fs25,rd,0,0
tik42x,hodl_001fs25,rd,0,0
tik42x,hodl_001fs25,rd,1,8192
tik42x,hodl_001fs25,rd,0,0
tik42x,hodl_001fs25,rd,0,0
tik42x,hodl_001fs25,rd,2,131072
tik42x,hodl_001fs25,rd,0,0
tik42x,hodl_001fs25,rd,2,524288
tik42x,hodl_001fs25,rd,2,1048576
tik42x,jbuerki,rd,3,24576
tik42x,jbuerki,rd,1,16384
tik42x,jbuerki,rd,1,32768
tik42x,jbuerki,rd,0,0
tik42x,jbuerki,rd,2,262144
tik42x,jbuerki,rd,1,262144
tik42x,jbuerki,rd,3,1572864
tik42x,jbuerki,rd,1,1048576
tik42x,jbuerki,rd,1,2097152
tik42x,sischoe,rd,1,8192
tik42x,sischoe,rd,3,49152
tik42x,sischoe,rd,1,32768
tik42x,sischoe,rd,7,458752
tik42x,sischoe,rd,9,1179648
tik42x,sischoe,rd,7,1835008
tik42x,sischoe,rd,7,3670016
tik42x,sischoe,rd,2,2097152
tik42x,sischoe,rd,12,25165824
tikgpu08,donchu,rd,2,8192
tikgpu08,donchu,rd,34,278528
tikgpu08,donchu,rd,27,442368
tikgpu08,donchu,rd,21,688128
tikgpu08,donchu,rd,24,1572864
tikgpu08,donchu,rd,13,1703936
tikgpu08,donchu,rd,2,524288
tikgpu04,mungersboeck,rd,34,35651584
tikgpu04,mungersboeck,rd,102,213909504
snowflake01,hodl_001fs25,rd,3,384
snowflake01,hodl_001fs25,rd,0,0
snowflake01,hodl_001fs25,rd,3,1536
snowflake01,hodl_001fs25,rd,0,0
snowflake01,hodl_001fs25,rd,3,6144
snowflake01,hodl_001fs25,rd,6,24576
snowflake01,hodl_001fs25,rd,20,163840
snowflake01,hodl_001fs25,rd,1,16384
snowflake01,hodl_001fs25,rd,24,786432
snowflake01,hodl_001fs25,rd,25,1638400
snowflake01,hodl_001fs25,rd,23,3014656
snowflake01,hodl_001fs25,rd,37,9699328
tik42x,kfearne,rd,11,90112
tik42x,kfearne,rd,10,163840
tik42x,kfearne,rd,8,262144
tik42x,kfearne,rd,19,1245184
tik42x,kfearne,rd,25,3276800
tik42x,kfearne,rd,31,8126464
tik42x,kfearne,rd,20,10485760
tik42x,kfearne,rd,14,14680064
tik42x,kfearne,rd,24,50331648
tikgpu02,kfearne,rd,32,2048
tikgpu02,kfearne,rd,26,3328
tikgpu02,kfearne,rd,152,38912
tikgpu02,kfearne,rd,176,90112
tikgpu02,kfearne,rd,317,324608
